claim_id,exhibit,claim,value,ci95,n,source_json,json_path,code,sha256_16,path_status
C1,T2,PE investment raises the monthly hiring hazard by 16%.,1.1593,"[1.083, 1.2409]",48853,harness30/out/I02.json,estimates.panelB_cloglog.tp.HR,P014_upgrade_package/harness30/i02_hazard.py,9bec5b3c6d1a92d8,GO
C2,T2,The 12-month hiring rate rises by 4.9 percentage points.,0.0485,"[0.0163, 0.0814]",367,harness30/out/I35.json,estimates.canonical.A1_hire_DiD.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C3,T2,The share of months with no hiring falls by 4.6 percentage points.,-0.046,"[-0.0665, -0.0246]",348,harness30/out/I35.json,estimates.canonical.A4_zero_share.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C4,T2,Separations do not change; a change as large as the hiring effect is excluded.,0.0007,"[-0.0353, 0.0398]",367,harness30/out/I35.json,estimates.canonical.A5_separation.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C5,T2,Both margins rise; the extensive margin accounts for ~61% of the log increase.,0.608,,,harness30/out/I35.json,estimates.canonical.B5_extensive_share_log,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C5a,T2,Extensive margin (log).,0.1011,"[0.0544, 0.1496]",358,harness30/out/I35.json,estimates.canonical.B3_dlogp.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C5b,T2,Intensive margin (log).,0.0652,"[0.0074, 0.1242]",358,harness30/out/I35.json,estimates.canonical.B4_dlogi.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C5c,T2,Intensive margin (level) is at the significance boundary.,0.0048,"[-0.0001, 0.0102]",364,harness30/out/I35.json,estimates.canonical.B2_di.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C6,F1,Pre-treatment quarters are flat; the effect appears from quarter 2 and plateaus.,0.038,"[0.0136, 0.0613]",251,harness30/out/I32.json,estimates.panelB_quarterly_ES.year_means.Y1.b,P014_upgrade_package/harness30/i32_decay.py,8f9111f0dfbef6e7,PARTIAL
C7,F1,The effect persists through year 3 without decay.,-0.062,"[-0.0928, -0.0313]",251,harness30/out/I32.json,estimates.panelA_by_year.Y3.DiD,P014_upgrade_package/harness30/i32_decay.py,8f9111f0dfbef6e7,PARTIAL
C7a,F1,Year-1 minus Year-3 difference is not significant (no decay).,-0.0241,"[-0.051, 0.0027]",,harness30/out/I32.json,estimates.panelB_quarterly_ES.Y1_minus_Y3.diff,P014_upgrade_package/harness30/i32_decay.py,8f9111f0dfbef6e7,PARTIAL
C8,T3,The effect is concentrated in firms that were previously inert (T3 minus T1).,-0.0958,"[-0.1566, -0.0357]",,harness30/out/I35.json,estimates.canonical.C1_samebin.T3_T1.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C8a,T3,High-inertia tercile effect.,-0.111,"[-0.159, -0.0567]",92,harness30/out/I35.json,estimates.canonical.C1_samebin.T3.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C8b,T3,Low-inertia tercile effect is not distinguishable from zero.,-0.0152,"[-0.0459, 0.0149]",112,harness30/out/I35.json,estimates.canonical.C1_samebin.T1.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C9,T3,The moderator is significant in the hazard model.,1.204,"[1.0205, 1.4205]",,harness30/out/I25.json,estimates.panelD_hazard_triple.tp_hi.HR,P014_upgrade_package/harness30/i25_pre_inertia.py,81b0bbb5458fb618,GO
C10,T3,Mean reversion is excluded: high-inertia never-treated firms through the same pipeline yield zero.,-0.0017,,200,harness30/out/I31.json,estimates.panelA_conditional_placebo.null_mean,P014_upgrade_package/harness30/i31_inertia_placebo.py,a5dcadbac1efd617,GO
C10a,T3,Randomization-inference p-value for the conditional placebo.,0,,,harness30/out/I31.json,estimates.panelA_conditional_placebo.RI_p,P014_upgrade_package/harness30/i31_inertia_placebo.py,a5dcadbac1efd617,GO
C11,T4,The effect does not depend on control transfer (buyout vs growth).,-0.0011,"[-0.0421, 0.0396]",,harness30/out/I16.json,estimates.panelA_type_battery.diff.무채용비중.diff,P014_upgrade_package/harness30/i16_dealtype.py,3ef4016c9c768c62,KILL
C12,T4,The effect does not scale with the acquired stake.,-5.3e-05,"[-0.0005, 0.0003]",209,harness30/out/I14.json,estimates.panelC_dose.continuous_slope.slope_per_pct,P014_upgrade_package/harness30/i14_shareholder_dose.py,ba4a2d7b3f3126fd,GO
C13,T4,Sponsor identity does not predict the effect (leave-one-out).,0.0703,"[-0.3711, 0.3426]",213,harness30/out/I17.json,estimates.panelC_loo_prediction.loo_beta,P014_upgrade_package/harness30/i17_gp_style.py,b632c3fba784d71b,KILL
C13a,T4,Permutation p-value for the sponsor component.,0.2785,,,harness30/out/I17.json,estimates.panelC_loo_prediction.perm_p,P014_upgrade_package/harness30/i17_gp_style.py,b632c3fba784d71b,KILL
C14,T4,Firms whose cash fell show the same effect as those whose cash rose.,0.0079,"[-0.0551, 0.0671]",,harness30/out/I21.json,estimates.panelC_conditional.C3−C1.diff,P014_upgrade_package/harness30/i21_cash_lead.py,af40d73edc2c03ab,KILL
C15,T5,The adjustment threshold does not move (no reduction in adjustment cost).,-0.0013,"[-0.0038, 0.0011]",326,harness30/out/I03.json,estimates.panelC_trigger_gap_band.DiD,P014_upgrade_package/harness30/i03_ss_band.py,22891bdf3f9e4233,KILL
C16,T5,The largest gap tolerated without adjusting falls.,-0.0258,"[-0.0416, -0.0095]",367,harness30/out/I03.json,estimates.panelD_max_gap_censored.DiD,P014_upgrade_package/harness30/i03_ss_band.py,22891bdf3f9e4233,KILL
C17,T5,Average wages rise even as employment grows; new hires are not cheap labour.,0.0096,"[0.0039, 0.0154]",346,harness30/out/I22.json,estimates.panelA_wage_emp.log_wage.DiD,P014_upgrade_package/harness30/i22_wage_structure.py,676118594120b8b7,GO
C17a,T5,Implied marginal wage of new hires is indistinguishable from controls.,0.0086,"[-0.1383, 0.1585]",182,harness30/out/I22.json,estimates.panelB_marginal_wage_ratio.DiD.DiD,P014_upgrade_package/harness30/i22_wage_structure.py,676118594120b8b7,GO
C18,T5,Value added rises proportionally with employment.,0.0778,"[0.0296, 0.1294]",147,harness30/out/I04c.json,estimates.panelA_value_added.log_va|h1.DiD,P014_upgrade_package/harness30/i04c_valueadded.py,9d14728ca1e8278f,PARTIAL
C18a,T5,Value added per worker is unchanged; a 10% change is excluded.,-0.0052,"[-0.0333, 0.0261]",147,harness30/out/I04c.json,estimates.panelA_value_added.va_pe|h1.DiD,P014_upgrade_package/harness30/i04c_valueadded.py,9d14728ca1e8278f,PARTIAL
C19,T6,The result survives differential trends up to two-thirds of the largest pre-period movement.,0.658,,,harness30/out/I11.json,estimates.S4_quarterly_premean.Mbar,P014_upgrade_package/harness30/i11_honestdid.py,38466875096ffa88,PARTIAL
C20,T6,"[SUPERSEDED -> Table 7 hazard from specification (4), 1.2881] The effect is larger where the sponsor faced deployment pressure, opposite to selection.",1.2512,"[1.0307, 1.5188]",,harness30/out/I15.json,estimates.panelD_hazard_triple.tp_hi.HR,P014_upgrade_package/harness30/i15_fund_pressure.py,99b589ae30bc01ac,SUPERSEDED
C21,T6,The effect holds in the subsample whose deal year is independently confirmed.,-0.0645,"[-0.1145, -0.0163]",62,harness30/out/I14.json,estimates.panelE_validated_subsample.confirmed.zero_DiD,P014_upgrade_package/harness30/i14_shareholder_dose.py,ba4a2d7b3f3126fd,GO
C22,T6,"Employment level also rises in high-inertia firms (conditional-placebo null range shown in the CI column, not a confidence interval).",0.1423,"[-0.0602, 0.0613]",200,harness30/out/I33.json,estimates.T3_conditional_placebo.level(rel12).actual_T3,P014_upgrade_package/harness30/i33_linchpin.py,f8ab8e22b0db866c,GO
C22a,T6,Randomization-inference p for the level outcome under the conditional placebo.,0,,,harness30/out/I33.json,estimates.T3_conditional_placebo.level(rel12).RI_p,P014_upgrade_package/harness30/i33_linchpin.py,f8ab8e22b0db866c,GO
C23,T1,Time aggregation: the inaction object is not measurable annually.,0.003,"[-0.0101, 0.0172]",348,harness30/out/I01.json,estimates.panelA_inaction_by_block.12.DiD,P014_upgrade_package/harness30/i01_timeagg.py,5034e7c9878a359a,GO
C24,T4,"Log hiring rate, bottom dormancy tercile.",0.0269,,128,harness30/out/I40.json,estimates.panelA_log_moderator.lrate.T1,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C25,T4,"Log hiring rate, top dormancy tercile.",0.3741,,94,harness30/out/I40.json,estimates.panelA_log_moderator.lrate.T3,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C26,T4,The dormancy gradient in the log hiring rate.,0.3472,"[0.1678, 0.55]",,harness30/out/I40.json,estimates.panelA_log_moderator.lrate.diff,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C27,T4,"Level hiring rate, bottom tercile (ceiling check: proportional expansion predicts the opposite).",-0.011,,,harness30/out/I40.json,estimates.panelA_log_moderator.rate.T1,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C28,T4,"Level hiring rate, top tercile.",0.1397,,,harness30/out/I40.json,estimates.panelA_log_moderator.rate.T3,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C29,T4,"Pre-deal hiring rate, bottom tercile.",0.5028,,,harness30/out/I40.json,estimates.panelA_log_moderator.pre_rate_T1,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C29a,T4,"Pre-deal hiring rate, top tercile.",0.3342,,,harness30/out/I40.json,estimates.panelA_log_moderator.pre_rate_T3,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C30,T4,Gradient under a quartile cut.,0.3834,"[0.1551, 0.6148]",,harness30/out/I41.json,estimates.panelC_cutoffs.quartile 25/75.diff,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C31,T4,"Gradient, top quartile against the rest.",0.2724,"[0.0772, 0.4699]",,harness30/out/I41.json,estimates.panelC_cutoffs.상위25% vs 나머지.diff,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C32,T4,Gradient under a median split.,0.2005,"[0.0584, 0.3622]",,harness30/out/I41.json,estimates.panelC_cutoffs.중앙값 분할.diff,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C33,T4,Continuous dormancy slope.,0.5259,"[0.2436, 0.8257]",301,harness30/out/I41.json,estimates.panelA_continuous.linear.slope,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C34,T4,Length of the spell in progress at closing does not carry the gradient.,0.0403,"[-0.0156, 0.1073]",,harness30/out/I41.json,estimates.panelD_transitory_vs_structural.current_spell.slope,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C35,T4,Structural (historical) inactivity carries the gradient.,0.559,"[0.2408, 0.8853]",,harness30/out/I41.json,estimates.panelD_transitory_vs_structural.historical.slope,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C36,OA,Residualizing dormancy on covariates leaves the sign but not the detection.,0.2433,"[-0.2213, 0.7226]",301,harness30/out/I41.json,estimates.panelB_residualized.resid_slope.slope,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C37,OA,"Conditioning on log pre-deal total hires reverses the gradient (reported, not claimed).",-0.3812,"[-0.7682, -0.047]",301,harness30/out/I41.json,estimates.panelE_given_preN.inaction_given_preN.coef,P014_upgrade_package/harness30/i41_moderator_defense.py,4a59cb84983ecef0,GO
C38,T4,"Conditional placebo, top tercile: treated value (null range in the CI column).",0.4177,"[-0.2092, 0.2526]",200,harness30/out/I42.json,estimates.results.T3 고관성.actual,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
