id,tier,title,gates,depends_on,status,note,wave
I-01,1,시간집계 정리 검정,G6,,GO,PanelA 등가성 성립(연간 소멸) / PanelB 타이밍흐림 예측 반증 / 1월몰림 2.66배 -> I-14 | I-14 결과: 주주명부로 1월 대치 확증/반증 불가(연1회 해상도) — 미해결 유지,W1
I-02,1,hazard 전환 (cloglog),G6,,GO,"HR=1.1593 [1.083,1.2409] p=2e-05 / 형태(장기집중 vs 균일) 미결 tri-HR 1.18 [0.93,1.50]",W1
I-03,1,"(S,s) 밴드폭 추정",G6,I-02,KILL,"(S,s) 밴드축소 미검출 trigger gap DiD -0.0013[-0.0038,0.0011]; 단 최대도달갭 -0.0258[-0.0416,-0.0095]✓ -> '비용하락'이 아니라 '비주의 제거' 판별. I-02 음의 지속기간의존성은 기업FE로 해소(-0.645->+0.069)",W1
I-04,1,실적 앵커,G7;G6,,PARTIAL,"3판. 정본 v3(부가가치): logVA +0.0778✓/+0.0795✓, VA/인원 등가성 성립(δ=0.10) 전지평, 자산 +0.23✓, 매출·생존 등가성 성립, ROA 미검출 -> '비례 확장, 효율개선 아님'. v1 '생산성 하락'은 분모(고용+0.1518✓) 기계효과로 해부. 🚩생존 T3-T1 h+4 -0.136✓ 불리(단 폐업/피인수 미구별) | 주지평 h+3 확정(PI 승인). h+4는 확장강건성 유지. 생존 불리결과는 Šidák(4) p=0.074로 소멸. 문헌근거 [EVIDENCE REQUIRED]",W5
I-05,1,Exit 가역성,G1;G5,I-14,PARTIAL,"n=13(수동EXIT 8+자동5). sum CI [-0.212,0.034]가 완전가역(0)·비가역(-0.0715) 모두 포함 -> 판별 불가 확정. 사전기록 MDE와 일치. 원고: '가역성 판정 불가'만 서술 가능. SPC가드 과잉(의심 6중 4건이 실제 EXIT) 교훈 기록",W3
I-06,2,not-yet-treated 붕괴 해부,G6,,PARTIAL,"'붕괴' 미확립: S1-S4 P1 차이 -0.0287[-0.130,0.071] 비유의. DiD는 두 표본 모두 무유의. -> 34-5에 §29 서술 정정 기록. not-yet-treated는 검정력 부족(양 표본 공통)",W2
I-07,2,CS/SA/BJS 강건추정량,G6,,PENDING,,W4
I-08,2,코호트 stacked + vintage,G6,I-07,PENDING,,W4
I-09,2,Synthetic DiD,G6,I-02,PENDING,,W4
I-10,2,무행동 SC/행렬완성,G6,I-09,PENDING,,W4
I-11,2,HonestDiD breakdown 승격,G6,,PARTIAL,"사전명시 월별 M̄=0 실패(분모가 잡음, 귀무 34백분위로 입증). 해상도 일치 분기 M̄=0.517(q-1)/0.658(사전평균). 주장상한='사전변동의 2/3까지 생존'",W2
I-12,2,설계기반 추론 2차원화,G6,,PENDING,,W6
I-13,2,무산·철회 딜 확장,G4,,PENDING,Deal Status 전부 Completed - BLOCKED 유력,W7
I-14,3,주주명부 시점+지분율 dose,G1;G3,,GO,"dose 231건(소수147/다수84, PB대비 5.6배): 다수 -0.0634✓ 소수 -0.0440✓ 차이 -0.0194✗(등가성 미성립) 연속기울기 0 → I-16 확증. 연도검증 18.7%로 1월문제 미해결. exit 44건.",W3
I-15,3,GP 펀드수명 = 타이밍 도구,G9;G8,,PARTIAL,"방향 유리: 효과가 선별여유 큰 딜(P1 -0.0426✗)이 아니라 집행압력 딜(P3 -0.0971✓)에 집중. hazard 삼중교호 1.2512[1.031,1.519]✓ -> 사적정보 시점선택 가설 반증. 단 P3-P1 등가성 미성립·비단조·연결 60%. IV 아님",W3
I-16,3,딜유형: 통제권 vs 자본,G2,,KILL,"통제권 가설 기각: 무채용비중 Buyout -0.0464 vs Growth -0.0453, 차이 -0.0011 등가성성립(d=0.046). hazard 차이 HR 1.035[0.906,1.184] 비유의. -> 'PE 효과는 통제권 이전을 요구하지 않는다'(counter-intuitive 자산)",W2
I-17,3,GP 고정효과/스폰서 스타일,G8;G1,I-16,KILL,"GP 성분 미검출: 분산 순열p 0.26, LOO b=+0.0703[-0.371,0.343] 순열p 0.28, 경험 비단조. 주장상한='검출 못함'(등가성 미성립). -> 34-11-A: 효과가 소유주 무관·대상상태 의존 = 평균회귀 위협 노출",W3
I-18,3,최초진입 GP vs 반복 GP,G8;G2,I-17,PENDING,,W3
I-19,3,경영권승계 대조 정식화,G1;G6,I-16,PARTIAL,"판별 실패. PE -0.0335✓ vs OWN +0.0050✗ 차이 -0.0385✓ 이나 positive control 실패(OWN이 고용수준도 안 움직임 rel +0.0024✗) -> 비교군 실재성 미확인. 하위유형 신호는 Šidák(6) 전부 소멸, 연속 dose 기울기 평탄. PE_SPEC 철회. 가족승계는 전 사양 0",W6
I-20,4,통제직접효과 CDE,G6,I-02,PENDING,I-03: 메커니즘은 비용하락이 아니라 비주의 제거 — CDE 해석시 반영,W5
I-21,4,재무여유 매개 (선행성),G7,,KILL,현금 매개 기각. 현금감소군(C1 -0.106)에서도 관성 -0.0631✓. 선행성 전부 ✗. -> 측정가능 매개변수 없음,W5
I-22,4,임금구조 매개,G6,,GO,"저임금유입 기각: 평균임금 +0.0096✓(고용 +0.0588✓ 중), 함의임금 비율 DiD +0.0086✗ δ=0.20 등가성, 구성효과 관측의 23%뿐 -> '순수 조정기술 변화' 서사 지지, 저널표적 유지",W5
I-23,4,채용 집중도 HHI/계절성,G6,,PENDING,,W5
I-24,4,조정 비대칭 (감원 hazard),G6,I-02,PENDING,I-03: 감원 hazard도 갭 조건부로 볼 것 (누적채용/고용 대칭 지표),W5
I-25,5,사전 관성수준 조절,G6,,GO,"최강 결과. 동일bin T3-T1 무채용 -0.0958[-0.159,-0.036]✓ 채용 +0.1387✓; hazard 삼중교호 1.204[1.021,1.421]✓ (고관성 HR 1.335 vs 저중 1.109). 평균회귀 차단이 오히려 강화. T1 주장상한='T3만한 효과 배제'",W2
I-26,5,지역 노동시장 경직도,G6,,PENDING,,W6
I-27,5,노동법 규모문턱 RD,G6,,PENDING,,W6
I-28,5,산업 숙련도/탐색비용,G6,,PENDING,,W6
I-29,6,표본분할 표본외 검증,G6,,PENDING,,W6
I-30,6,재선택 실험 기여 승격,-,,PENDING,I-11 부산물 합류: 미세해상도 RM breakdown 의 분모잡음 문제 — 방법론 노트 2번째 항목,W7
